# dictionary from http://www.esperanto-panorama.net/vortaro/eoen.htm
# Rimarkoj al: XGodivier"@"esperanto.org. (sen " ")
# Link to this page: Por fari ligon al tiu TTT-ejo:
# http://purl.org/net/panorama/vortaro/eoen.htm (unicode)
# http://purl.org/net/panorama/vortaro/xeoen.htm (x) 
        abako                          abacus
        abata                          abbatial
        abata jurisdikcio              abbacy
        abateco                        abbacy
        abateja                        abbatial
        abatejo                        abbey
        abatino                        abbess
        abato                          abbot
        abceso                         abscess
        abdiki                         abdicate, resign
        abdiko                         abdication
        abdomena                       abdominal
        abdomeno                       abdomen
        abduktoro                      abductor
        abelejo                        apiary
        abelisto                       bee-keeper
        abelkulturo                    bee-keeping
        abelo                          bee
        abelujo                        beehive, bee-hive
        abelvakso                      beeswax
        aberacii                       deviate
        aberacio                       aberration
        abĥaza                         Abkhazian
        Abĥazio                        Abkhazia
        abĥazo                         Abkhazian
        Abĥazujo                       Abkhazia
        abia                           deal
        Abintono                       Abington
        abio                           fir
        abiogenezo                     abiogenesis
        abisena                        Abyssinian, Ethiopian
        Abisenio                       Abyssinia, Ethiopia
        abiseno                        Abyssinian, Ethiopian
        Abisenujo                      Abyssinia, Ethiopia
        abismo                         abyss, chasm
        abiturienta diplomo            leaving-certificate
        abiturienta ekzameno           final examination
        abĵuri                         abjure, abnegate
        abĵuro                         abjuration
        ablativo                       ablative
        abnegacii                      abnegate, deny oneself
        abnegacio                      abnegation
        abnorma                        abnormal
        abnormaĵo                      abnormality, abnormity
        abnormeco                      abnormality, abnormity
        aboco                          ABC, alphabet
        aboli                          abolish, abrogate
        abolicii                       abolish, abrogate
        abolicio                       abolition, abrogation
        abolo                          abolition, abrogation
        abomaso                        rennet-stomach
        abomena                        dismal, dreary, ghastly, hideous, horrible, nasty
        abomenaĵo                      abomination
        abomeni                        abhor, abominate, loathe
        abomeninda                     abhorrent, abominable, alien, awful, hideous, horrible, gruesome
        abomenindaĵo                   abhorrence, abomination, atrocity, horror
        abomeno                        abhorrence, abomination, horror
        abonanto                       subscriber
        aboni                          subscribe
        abono                          subscription
        aborigeno                      aboriginal
        aborti                         abort, miscarry
        abortigi                       abort
        abortigisto                    abortionist
        abortigo                       abortion
        aborto                         abortion
        Abrahamo                       Abraham
        abraziiĝi                      cave in
        abreviacio                     abbreviation
        abrikoto                       apricot
        abrogacio                      abrogation
        abrupta                        abrupt
        abrupte                        abruptly
        absceso                        abscess
        absciso                        abscissa
        absejli                        abseil
        absintaĵo                      absinth
        absintlikvoro                  absinth
        absinto                        absinth
        absoluta                       absolute
        absolute                       absolutely
        absolutismo                    absolutism
        absolvi                        absolve
        absolvo                        absolution
        absorba                        absorbent
        absorbi                        absorb
        absorbilo                      absorbent
        absorbita de                   absorbed in
        absorbo                        absorption
        abstemio                       teetotalism
        abstinenco                     abstinence, teetotalism
        abstinenculo                   total abstainer
        abstini                        abstain
        abstrakta                      abstract
        abstraktaĵo                    abstraction
        abstrakti                      abstract
        absurda                        absurd
        absurdaĵo                      absurdity
        absurdeco                      absurdity
        abunda                         abundant
        abunde                         abundantly
        abundeco                       abundance
        abundi                         abound
        abundo                         abundance, plenty
        acera                          maple, maple-, of a maple
